name,talent,opts
2 in 1 Spike & Bounce Ball Set,160,
2000 Piece Puzzle,100,"Birdhouse, Nature"
3 Drawer Organizer,130,
3D Star Theater,180,
AA Battery,40,
AAA Battery,40,
Album Box Kit,70,"Green, Aqua"
All Metal LED Lamp,150,"Blue, Black, Pink"
Authentic Fool’s Gold,20,
Authentic Fossils,20,
Authentic Space Rocks,20,
Back to School Kit,90,
Bag,30,"Unicorn, Cat Unicorn"
BallistXStorm,110,
Barf Ooze Ball,10,
Bean Bag Toss,110,
BIC Permanent Pen,70,
Boom Ball,50,
Bouncers,20,
Bouncy Ball,10,"Yellow, Blue, Purple, Green"
Bow Set,20,
Bubble Beam,40,
Bubblin Bath Jellies,70,
Bubbly Bubble Bars,70,
Buzz Lightyear,80,
C Battery,40,
Cable Combo Lock,30,
Cake Pop Shop,190,
Chalk,70,
Charcoal Toothbrush (4 pc),30,
Chess Teacher,90,
Clean-up & Dust Set,110,
Clue Grab & Go,40,
Colgate Toothpaste,20,
Complete Cookware Set (10 pc),70,
Crayola 24 Pack,10,
Crayon Coin Bank,20,"Blue, Red, Yellow"
Crochet Kit,50,
Customizable Notebook,30,
Disco Robot,80,
Disney Cars,170,
DohVinci Play-Doh Gun,40,
DohVinci Play-Doh Refill,20,
Doodle Pro,130,
Dove Shower Gell,40,"Gentle Exfoliating, Cucumber & Green Tea Scent, Nourishing Secrets, Pampering"
Dove Body Wash 800mL,60,"Nectarine & White Ginger Scent, Shea Butter & Vanilla, Raspberry & Lime Scent, Relaxing Care"
Dove Hand Wash,20,"Deep Nourishing, Shea Butter & Warm Vanilla Scent"
Dove Soap Bar,20,"Cucumber & Green Tea Scent, Pure & Sensitive"
Dry-Erase Calendar,60,
Dry-Erase Markers,30,
Dry-Erase Variety Pack (6 pc),20,
Eraser Multi-Pack (15 pc),20,
Essential Art Set (80 pc),130,
Extension Cord (15 ft),50,"White, Brown"
Eye Mask & Socks,40,
Fab Foam,10,"Orange, Green, Blue"
FingerSports Bowling,20,
Five Star 1 Subject Notebook (Wide-Ruled),30,"Blue, Yellow, Orange, White, Black"
Flingshot,130,
Floral Notebook,50,
Flower Notebook,40,"Flower Pink, Flower Blue"
Flying Spinner,50,
Frisbee,20,"Orange, Yellow, Green"
Frozen II Best Friends Accessory Set,30,
Frozen II Nail Polish Set,60,
Gel Pens (36 colors),80,
Giant Heart Donut Pool Float,80,
Glitter Mini Notes,10,"Gold, Purple"
